timestamp,open,high,low,close,volume
1609718400,32810.94921875,33440.21875,28722.755859375,31971.9140625,81163475344
1609804800,31977.041015625,34437.58984375,30221.1875,33992.4296875,67547324782
1609891200,34013.61328125,36879.69921875,33514.03515625,36824.36328125,75289433811
1609977600,36833.875,40180.3671875,36491.19140625,39371.04296875,84762141031
1610064000,39381.765625,41946.73828125,36838.63671875,40797.609375,88107519480
1610150400,40788.640625,41436.3515625,38980.875,40254.546875,61984162837
1610236800,40254.21875,41420.19140625,35984.62890625,38356.44140625,79980747690
1610323200,38346.53125,38346.53125,30549.599609375,35566.65625,123320567399
1610409600,35516.359375,36568.52734375,32697.9765625,33922.9609375,74773277909
1610496000,33915.12109375,37599.9609375,32584.66796875,37316.359375,69364315979
1610582400,37325.109375,39966.40625,36868.5625,39187.328125,63615990033
1610668800,39156.70703125,39577.7109375,34659.58984375,36825.3671875,67760757881
1610755200,36821.6484375,37864.3671875,35633.5546875,36178.140625,57706187875
1610841600,36163.6484375,36722.3515625,34069.3203125,35791.27734375,52359854336
1610928000,35792.23828125,37299.28515625,34883.84375,36630.07421875,49511702429
1611014400,36642.234375,37755.890625,36069.8046875,36069.8046875,57244195486
1611100800,36050.11328125,36378.328125,33570.4765625,35547.75,66834573161
1611187200,35549.3984375,35552.6796875,30250.75,30825.69921875,75643067688
1611273600,30817.625,33811.8515625,28953.373046875,33005.76171875,77207272511
1611360000,32985.7578125,33360.9765625,31493.16015625,32067.642578125,48354737975
1611446400,32064.376953125,32944.0078125,31106.685546875,32289.37890625,48643830599
1611532800,32285.798828125,34802.7421875,32087.787109375,32366.392578125,59897054838
1611619200,32358.61328125,32794.55078125,31030.265625,32569.849609375,60255421470
1611705600,32564.029296875,32564.029296875,29367.138671875,30432.546875,62576762015
1611792000,30441.041015625,33858.3125,30023.20703125,33466.09765625,76517157706
1611878400,34318.671875,38406.26171875,32064.814453125,34316.38671875,117894572511
1611964800,34295.93359375,34834.70703125,32940.1875,34269.5234375,65141828798
1612051200,34270.87890625,34288.33203125,32270.17578125,33114.359375,52754542671
1612137600,33114.578125,34638.21484375,32384.228515625,33537.17578125,61400400660
1612224000,33533.19921875,35896.8828125,33489.21875,35510.2890625,63088585433
1612310400,35510.8203125,37480.1875,35443.984375,37472.08984375,61166818159
1612396800,37475.10546875,38592.17578125,36317.5,36926.06640625,68838074392
1612483200,36931.546875,38225.90625,36658.76171875,38144.30859375,58598066402
1612569600,38138.38671875,40846.546875,38138.38671875,39266.01171875,71326033653
1612656000,39250.19140625,39621.8359375,37446.15234375,38903.44140625,65500641143
1612742400,38886.828125,46203.9296875,38076.32421875,46196.46484375,101467222687
1612828800,46184.9921875,48003.72265625,45166.9609375,46481.10546875,91809846886
1612915200,46469.76171875,47145.56640625,43881.15234375,44918.18359375,87301089896
1613001600,44898.7109375,48463.46875,44187.76171875,47909.33203125,81388911810
1613088000,47877.03515625,48745.734375,46424.9765625,47504.8515625,76555041196
